make,model,year,mileage,engine,transmission,fuel_type,location,condition,price,vehicle_age,mileage_per_year,engine_size,luxury_brand,automatic_flag
Toyota,Premio,2008,20000,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000,18,1111.111111111111,1.8,0,1
Subaru,Outback,2009,20173,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000,17,1186.6470588235295,2.5,0,1
Mazda,CX-5,2010,20346,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000,16,1271.625,2.2,0,1
Mercedes-Benz,C200,2011,20519,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500,15,1367.9333333333334,2.0,1,1
Nissan,X-Trail,2012,20692,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500,14,1478.0,2.0,0,1
Honda,Fit,2013,20865,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500,13,1605.0,1.5,0,0
BMW,X3,2014,21038,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000,12,1753.1666666666667,2.0,1,1
Audi,A4,2015,21211,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500,11,1928.2727272727273,2.0,1,1
Toyota,Premio,2016,21384,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000,10,2138.4,1.8,0,1
Subaru,Outback,2017,21557,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000,9,2395.222222222222,2.5,0,1
Mazda,CX-5,2018,21730,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000,8,2716.25,2.2,0,1
Mercedes-Benz,C200,2019,21903,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499,7,3129.0,2.0,1,1
Nissan,X-Trail,2020,22076,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500,6,3679.3333333333335,2.0,0,1
Honda,Fit,2021,22249,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500,5,4449.8,1.5,0,0
BMW,X3,2022,22422,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000,4,5605.5,2.0,1,1
Audi,A4,2008,22595,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500,18,1255.2777777777778,2.0,1,1
Toyota,Premio,2009,22768,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000,17,1339.2941176470588,1.8,0,1
Subaru,Outback,2010,22941,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000,16,1433.8125,2.5,0,1
Mazda,CX-5,2011,23114,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000,15,1540.9333333333334,2.2,0,1
Mercedes-Benz,C200,2012,23287,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500,14,1663.357142857143,2.0,1,1
Nissan,X-Trail,2013,23460,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500,13,1804.6153846153845,2.0,0,1
Honda,Fit,2014,23633,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500,12,1969.4166666666667,1.5,0,0
BMW,X3,2015,23806,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000,11,2164.181818181818,2.0,1,1
Audi,A4,2016,23979,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500,10,2397.9,2.0,1,1
Toyota,Premio,2017,24152,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000,9,2683.5555555555557,1.8,0,1
Subaru,Outback,2018,24325,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000,8,3040.625,2.5,0,1
Mazda,CX-5,2019,24498,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000,7,3499.714285714286,2.2,0,1
Mercedes-Benz,C200,2020,24671,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500,6,4111.833333333333,2.0,1,1
Nissan,X-Trail,2021,24844,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500,5,4968.8,2.0,0,1
Honda,Fit,2022,25017,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500,4,6254.25,1.5,0,0
BMW,X3,2008,25190,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000,18,1399.4444444444443,2.0,1,1
Audi,A4,2009,25363,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499,17,1491.9411764705883,2.0,1,1
Toyota,Premio,2010,25536,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000,16,1596.0,1.8,0,1
Subaru,Outback,2011,25709,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000,15,1713.9333333333334,2.5,0,1
Mazda,CX-5,2012,25882,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000,14,1848.7142857142858,2.2,0,1
Mercedes-Benz,C200,2013,26055,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500,13,2004.2307692307693,2.0,1,1
Nissan,X-Trail,2014,26228,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499,12,2185.6666666666665,2.0,0,1
Honda,Fit,2015,26401,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500,11,2400.090909090909,1.5,0,0
BMW,X3,2016,26574,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000,10,2657.4,2.0,1,1
Audi,A4,2017,26747,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500,9,2971.8888888888887,2.0,1,1
Toyota,Premio,2018,26920,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000,8,3365.0,1.8,0,1
Subaru,Outback,2019,27093,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000,7,3870.4285714285716,2.5,0,1
Mazda,CX-5,2020,27266,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000,6,4544.333333333333,2.2,0,1
Mercedes-Benz,C200,2021,27439,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500,5,5487.8,2.0,1,1
Nissan,X-Trail,2022,27612,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500,4,6903.0,2.0,0,1
Honda,Fit,2008,27785,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500,18,1543.611111111111,1.5,0,0
BMW,X3,2009,27958,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000,17,1644.5882352941176,2.0,1,1
Audi,A4,2010,28131,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500,16,1758.1875,2.0,1,1
Toyota,Premio,2011,28304,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000,15,1886.9333333333334,1.8,0,1
Subaru,Outback,2012,28477,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000,14,2034.0714285714287,2.5,0,1
Mazda,CX-5,2013,28650,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000,13,2203.846153846154,2.2,0,1
Mercedes-Benz,C200,2014,28823,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499,12,2401.9166666666665,2.0,1,1
Nissan,X-Trail,2015,28996,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500,11,2636.0,2.0,0,1
Honda,Fit,2016,29169,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500,10,2916.9,1.5,0,0
BMW,X3,2017,29342,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000,9,3260.222222222222,2.0,1,1
Audi,A4,2018,29515,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500,8,3689.375,2.0,1,1
