make,model,year,mileage,engine,transmission,fuel_type,location,condition,price
Toyota,Premio,2008,20000,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2009,20173,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2010,20346,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2011,20519,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2012,20692,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2013,20865,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2014,21038,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2015,21211,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2016,21384,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2017,21557,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2018,21730,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2019,21903,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2020,22076,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2021,22249,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2022,22422,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2008,22595,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2009,22768,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2010,22941,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2011,23114,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2012,23287,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2013,23460,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2014,23633,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2015,23806,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2016,23979,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2017,24152,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
Subaru,Outback,2018,24325,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2100000
Mazda,CX-5,2019,24498,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2565000
Mercedes-Benz,C200,2020,24671,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3237500
Nissan,X-Trail,2021,24844,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1662500
Honda,Fit,2022,25017,1500 cc,Manual,Petrol,Kisumu,Locally Used,1462500
BMW,X3,2008,25190,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4200000
Audi,A4,2009,25363,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3997499
Toyota,Premio,2010,25536,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2205000
Subaru,Outback,2011,25709,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2580000
Mazda,CX-5,2012,25882,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3135000
Mercedes-Benz,C200,2013,26055,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3937500
Nissan,X-Trail,2014,26228,2000 cc,Automatic,Petrol,Nakuru,Locally Used,2012499
Honda,Fit,2015,26401,1500 cc,Manual,Petrol,Kisumu,Locally Used,1762500
BMW,X3,2016,26574,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,5040000
Audi,A4,2017,26747,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4777500
Toyota,Premio,2018,26920,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1575000
Subaru,Outback,2019,27093,2500 cc,Automatic,Petrol,Nairobi,Locally Used,1860000
Mazda,CX-5,2020,27266,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2280000
Mercedes-Benz,C200,2021,27439,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,2887500
Nissan,X-Trail,2022,27612,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1487500
Honda,Fit,2008,27785,1500 cc,Manual,Petrol,Kisumu,Locally Used,1312500
BMW,X3,2009,27958,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3780000
Audi,A4,2010,28131,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3607500
Toyota,Premio,2011,28304,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1995000
Subaru,Outback,2012,28477,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2340000
Mazda,CX-5,2013,28650,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,2850000
Mercedes-Benz,C200,2014,28823,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,3587499
Nissan,X-Trail,2015,28996,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1837500
Honda,Fit,2016,29169,1500 cc,Manual,Petrol,Kisumu,Locally Used,1612500
BMW,X3,2017,29342,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,4620000
Audi,A4,2018,29515,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,4387500
Toyota,Premio,2019,29688,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,2415000
Subaru,Outback,2020,29861,2500 cc,Automatic,Petrol,Nairobi,Locally Used,2820000
Mazda,CX-5,2021,30034,2200 cc,Automatic,Diesel,Mombasa,Foreign Used,3420000
Mercedes-Benz,C200,2022,30207,2000 cc,Automatic,Petrol,Nairobi,Foreign Used,4287500
Nissan,X-Trail,2008,30380,2000 cc,Automatic,Petrol,Nakuru,Locally Used,1312500
Honda,Fit,2009,30553,1500 cc,Manual,Petrol,Kisumu,Locally Used,1162500
BMW,X3,2010,30726,2000 cc,Automatic,Diesel,Nairobi,Foreign Used,3360000
Audi,A4,2011,30899,2000 cc,Automatic,Diesel,Mombasa,Foreign Used,3217500
Toyota,Premio,2012,31072,1800 cc,Automatic,Petrol,Nairobi,Foreign Used,1785000
